0,0.454906291,Retrieve
0,0.222330171,Increment
33773,0.216166374,Retrieve
33773,0.227745169,Increment
36370,0.220074938,Retrieve
36370,0.226462601,Increment
39086,0.214466457,Retrieve
39086,0.224382797,Increment
41434,0.214126746,Retrieve
41434,0.225695157,Increment
43818,0.214116081,Retrieve
43818,0.225415619,Increment
46186,0.215238192,Retrieve
46186,0.224081852,Increment
48534,0.21884224,Retrieve
48534,0.227583577,Increment
51236,0.220425558,Retrieve
51236,0.230581793,Increment
54167,0.215791388,Retrieve
54167,0.228872697,Increment
56800,0.217818436,Retrieve
56800,0.230424654,Increment
59595,0.220134147,Retrieve
59595,0.226590132,Increment
62312,0.21439879,Retrieve
62312,0.222133994,Increment
64550,0.214413878,Retrieve
64550,0.223071171,Increment
66819,0.214325785,Retrieve
66819,0.223434843,Increment
69086,0.214048159,Retrieve
69086,0.222325268,Increment
71291,0.21427934,Retrieve
71291,0.225016773,Increment
73636,0.214180318,Retrieve
73636,0.227696544,Increment
76132,0.214753316,Retrieve
76132,0.223384185,Increment
78411,0.214901697,Retrieve
78411,0.225732268,Increment
80828,0.21531266,Retrieve
80828,0.224822726,Increment
83217,0.21478481,Retrieve
83217,0.224389384,Increment
85598,0.213837461,Retrieve
85598,0.225224774,Increment
88040,0.215460876,Retrieve
88040,0.223585614,Increment
90373,0.215137455,Retrieve
90373,0.223677934,Increment
92702,0.215405748,Retrieve
92702,0.224821544,Increment
95109,0.214371376,Retrieve
95109,0.228610332,Increment
97627,0.215357444,Retrieve
97627,0.225553603,Increment
